experiment,discount,horizon,c_samples,r_samples,run,t,r,std,q_r,q_std,sample,q_sample
tiger,0.9,1,5,250,4,1,3.2,4.874423042781576,4.220000000000001,3.3304053807307,5,5
tiger,0.9,1,5,250,4,2,-2.56,7.499759996159876,-3.1,7.475961476626268,5,5
tiger,0.9,1,5,250,4,3,-1.8400000000000003,7.470903559811223,-2.26,7.496159016456361,5,5
tiger,0.9,1,5,250,4,4,-1.6600000000000001,7.452811550012519,-3.3400000000000003,7.452811550012519,5,5
tiger,0.9,1,5,250,4,5,-2.9200000000000004,7.488230765674893,-2.8000000000000003,7.493997598078078,5,5
tiger,0.9,1,5,250,4,6,-2.38,7.4990399385521345,-2.38,7.4990399385521345,5,5
tiger,0.9,1,5,250,4,7,-1.7800000000000002,7.4653600047151105,-2.74,7.496159016456361,5,5
tiger,0.9,1,5,250,4,8,-1.0,0.0,-2.1999999999999997,7.493997598078078,5,5
tiger,0.9,1,5,250,4,9,1.2799999999999998,6.477777396607574,-1.0,0.0,5,5
tiger,0.9,1,5,250,4,10,-1.0,0.0,2.5399999999999996,5.5541335958005185,5,5
tiger,0.9,1,5,250,4,11,3.3200000000000003,4.730496802662485,-2.0199999999999996,7.484624239065044,5,5
tiger,0.9,1,5,250,4,12,-1.6,7.445804187594514,-1.7800000000000002,7.4653600047151105,5,5
tiger,0.9,1,5,250,4,13,-2.8600000000000003,7.491355017618642,-1.8999999999999995,7.475961476626268,5,5
tiger,0.9,1,5,250,4,14,-1.8400000000000003,7.470903559811223,-1.4800000000000004,7.430316278598105,5,5
tiger,0.9,1,5,250,4,15,-2.44,7.499759996159876,-1.1800000000000002,7.3829262491237175,5,5
tiger,0.9,1,5,250,4,16,-2.26,7.496159016456361,-2.56,7.499759996159876,5,5
tiger,0.9,1,5,250,4,17,-2.1399999999999997,7.491355017618642,-2.8600000000000003,7.491355017618642,5,5
tiger,0.9,1,5,250,4,18,-3.22,7.4653600047151105,-2.9800000000000004,7.484624239065044,5,5
tiger,0.9,1,5,250,4,19,-4.66,7.182228066554278,-2.8000000000000003,7.493997598078078,5,5
tiger,0.9,1,5,250,4,20,-2.62,7.4990399385521345,-1.0,0.0,5,5
tiger,0.9,1,5,250,4,21,-2.62,7.4990399385521345,3.0199999999999996,5.077361519529608,5,5
tiger,0.9,1,5,250,4,22,-3.6399999999999997,7.41285370151064,-3.4000000000000004,7.445804187594514,5,5
tiger,0.9,1,5,250,4,23,-2.8000000000000003,7.493997598078078,-2.44,7.499759996159876,5,5
tiger,0.9,1,5,250,4,24,-3.04,7.480534740244176,-2.8600000000000003,7.491355017618642,5,5
tiger,0.9,1,5,250,4,25,-2.0800000000000005,7.488230765674893,-1.0,0.0,5,5
tiger,0.9,1,5,250,4,26,-1.0,0.0,2.1800000000000006,5.860682554105792,5,5
tiger,0.9,1,5,250,4,27,3.6800000000000006,4.2494234903101855,-2.44,7.499759996159876,5,5
tiger,0.9,1,5,250,4,28,-2.26,7.496159016456361,-1.0,0.0,5,5
tiger,0.9,1,5,250,4,29,-1.0,0.0,-7.6000000000000005,5.499090833947008,5,5
tiger,0.9,1,5,250,4,30,2.78,5.326499788791885,-3.1600000000000006,7.470903559811222,5,5
tiger,0.9,1,5,250,4,31,-1.0,0.0,-1.0,0.0,5,5
tiger,0.9,1,5,250,4,32,3.1399999999999997,4.943723293227484,2.72,5.385313361356051,5,5
tiger,0.9,1,5,250,4,33,-1.48,7.430316278598106,-1.0,0.0,5,5
